表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,C120110,,C120120,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈,C120120_納税義務者数（所得割）【人】,注釈
2015100000,2015年度,2204,青森県 黒石市,,29204174,,13241,
2015100000,2015年度,2205,青森県 五所川原市,,48408122,,19699,
2015100000,2015年度,2206,青森県 十和田市,,64632233,,25325,
2015100000,2015年度,2207,青森県 三沢市,,49925906,,17367,
2015100000,2015年度,2208,青森県 むつ市,,63629746,,23496,
2015100000,2015年度,2209,青森県 つがる市,,22393015,,10187,
2015100000,2015年度,2210,青森県 平川市,,26104406,,11317,
2015100000,2015年度,2301,青森県 平内町,,9437678,,4396,
2015100000,2015年度,2303,青森県 今別町,,1849417,,845,
2015100000,2015年度,2304,青森県 蓬田村,,2153001,,989,
2015100000,2015年度,2307,青森県 外ヶ浜町,,4688582,,2040,
2015100000,2015年度,2321,青森県 鰺ヶ沢町,,6998361,,3157,
2015100000,2015年度,2323,青森県 深浦町,,5430587,,2497,
2015100000,2015年度,2343,青森県 西目屋村,,996852,,449,
2015100000,2015年度,2361,青森県 藤崎町,,12493266,,5369,
2015100000,2015年度,2362,青森県 大鰐町,,7227811,,3388,
2015100000,2015年度,2367,青森県 田舎館村,,6375606,,2925,
2015100000,2015年度,2381,青森県 板柳町,,12891299,,4514,
2015100000,2015年度,2384,青森県 鶴田町,,8917379,,4039,
2015100000,2015年度,2387,青森県 中泊町,,7717796,,3425,
2015100000,2015年度,2401,青森県 野辺地町,,13171643,,5452,
2015100000,2015年度,2402,青森県 七戸町,,13788160,,5804,
2015100000,2015年度,2405,青森県 六戸町,,10123633,,4120,
2015100000,2015年度,2406,青森県 横浜町,,4106489,,1771,
2015100000,2015年度,2408,青森県 東北町,,15488001,,6531,
2015100000,2015年度,2411,青森県 六ヶ所村,,13370846,,4741,
2015100000,2015年度,2412,青森県 おいらせ町,,24682767,,9788,
2015100000,2015年度,2423,青森県 大間町,,6064629,,1937,
2015100000,2015年度,2424,青森県 東通村,,6100618,,2430,
2015100000,2015年度,2425,青森県 風間浦村,,1501423,,656,
2015100000,2015年度,2426,青森県 佐井村,,1438099,,627,
2015100000,2015年度,2441,青森県 三戸町,,8154592,,3710,
2015100000,2015年度,2442,青森県 五戸町,,15906005,,6707,
2015100000,2015年度,2443,青森県 田子町,,4420757,,1979,
2015100000,2015年度,2445,青森県 南部町,,15425697,,6603,
2015100000,2015年度,2446,青森県 階上町,,13874817,,5649,
2015100000,2015年度,2450,青森県 新郷村,,1808358,,828,
2015100000,2015年度,3201,岩手県 盛岡市,,403847652,,132147,
2015100000,2015年度,3202,岩手県 宮古市,,54749592,,20953,
2015100000,2015年度,3203,岩手県 大船渡市,,39694628,,15075,
2015100000,2015年度,3205,岩手県 花巻市,,100228271,,40122,
2015100000,2015年度,3206,岩手県 北上市,,109352268,,40342,
2015100000,2015年度,3207,岩手県 久慈市,,36662944,,14032,
2015100000,2015年度,3208,岩手県 遠野市,,24019881,,10431,
2015100000,2015年度,3209,岩手県 一関市,,118542695,,47267,
2015100000,2015年度,3210,岩手県 陸前高田市,,17425395,,6738,
2015100000,2015年度,3211,岩手県 釜石市,,36403245,,13656,
2015100000,2015年度,3213,岩手県 二戸市,,26228711,,11045,
2015100000,2015年度,3214,岩手県 八幡平市,,22794651,,9799,
