表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,E9101,,E9106,
調査年 コード,調査年,地域 コード,地域,/項目,E9101_最終学歴人口（卒業者総数）【人】,注釈,E9106_最終学歴人口（大学・大学院）【人】,注釈
2010100000,2010年度,5303,秋田県 小坂町,,5208,,324,
2010100000,2010年度,5327,秋田県 上小阿仁村,,2423,,85,
2010100000,2010年度,5346,秋田県 藤里町,,3377,,138,
2010100000,2010年度,5348,秋田県 三種町,,16215,,788,
2010100000,2010年度,5349,秋田県 八峰町,,7100,,291,
2010100000,2010年度,5361,秋田県 五城目町,,9197,,601,
2010100000,2010年度,5363,秋田県 八郎潟町,,5639,,403,
2010100000,2010年度,5366,秋田県 井川町,,4621,,247,
2010100000,2010年度,5368,秋田県 大潟村,,2369,,360,
2010100000,2010年度,5434,秋田県 美郷町,,18392,,977,
2010100000,2010年度,5463,秋田県 羽後町,,14291,,711,
2010100000,2010年度,5464,秋田県 東成瀬村,,2461,,68,
2010100000,2010年度,6201,山形県 山形市,,201574,,34553,
2010100000,2010年度,6202,山形県 米沢市,,70755,,7118,
2010100000,2010年度,6203,山形県 鶴岡市,,111929,,10077,
2010100000,2010年度,6204,山形県 酒田市,,92103,,9241,
2010100000,2010年度,6205,山形県 新庄市,,31556,,3147,
2010100000,2010年度,6206,山形県 寒河江市,,34452,,3767,
2010100000,2010年度,6207,山形県 上山市,,28386,,2537,
2010100000,2010年度,6208,山形県 村山市,,22348,,1993,
2010100000,2010年度,6209,山形県 長井市,,24366,,2136,
2010100000,2010年度,6210,山形県 天童市,,50323,,5587,
2010100000,2010年度,6211,山形県 東根市,,37677,,3644,
2010100000,2010年度,6212,山形県 尾花沢市,,15904,,889,
2010100000,2010年度,6213,山形県 南陽市,,27824,,2309,
2010100000,2010年度,6301,山形県 山辺町,,12378,,991,
2010100000,2010年度,6302,山形県 中山町,,9902,,838,
2010100000,2010年度,6321,山形県 河北町,,16633,,1730,
2010100000,2010年度,6322,山形県 西川町,,5338,,335,
2010100000,2010年度,6323,山形県 朝日町,,6700,,361,
2010100000,2010年度,6324,山形県 大江町,,7719,,540,
2010100000,2010年度,6341,山形県 大石田町,,6772,,474,
2010100000,2010年度,6361,山形県 金山町,,5265,,251,
2010100000,2010年度,6362,山形県 最上町,,8266,,389,
2010100000,2010年度,6363,山形県 舟形町,,5215,,261,
2010100000,2010年度,6364,山形県 真室川町,,7729,,409,
2010100000,2010年度,6365,山形県 大蔵村,,3155,,118,
2010100000,2010年度,6366,山形県 鮭川村,,4119,,183,
2010100000,2010年度,6367,山形県 戸沢村,,4527,,135,
2010100000,2010年度,6381,山形県 高畠町,,20493,,1311,
2010100000,2010年度,6382,山形県 川西町,,14570,,855,
2010100000,2010年度,6401,山形県 小国町,,7397,,514,
2010100000,2010年度,6402,山形県 白鷹町,,12759,,854,
2010100000,2010年度,6403,山形県 飯豊町,,6701,,323,
2010100000,2010年度,6426,山形県 三川町,,6414,,457,
2010100000,2010年度,6428,山形県 庄内町,,19186,,1143,
2010100000,2010年度,6461,山形県 遊佐町,,13208,,714,
2010100000,2010年度,7201,福島県 福島市,,231670,,32899,
2010100000,2010年度,7202,福島県 会津若松市,,101055,,10378,
2010100000,2010年度,7203,福島県 郡山市,,265911,,34626,
2010100000,2010年度,7204,福島県 いわき市,,276871,,28950,
2010100000,2010年度,7205,福島県 白河市,,51974,,5504,
2010100000,2010年度,7207,福島県 須賀川市,,63109,,5985,
2010100000,2010年度,7208,福島県 喜多方市,,43293,,3150,
2010100000,2010年度,7209,福島県 相馬市,,30608,,2844,
2010100000,2010年度,7210,福島県 二本松市,,48927,,3553,
2010100000,2010年度,7211,福島県 田村市,,33144,,1623,
2010100000,2010年度,7212,福島県 南相馬市,,58055,,4884,
2010100000,2010年度,7213,福島県 伊達市,,54181,,3789,
2010100000,2010年度,7214,福島県 本宮市,,25107,,2009,
2010100000,2010年度,7301,福島県 桑折町,,10630,,805,
2010100000,2010年度,7303,福島県 国見町,,8408,,549,
2010100000,2010年度,7308,福島県 川俣町,,13160,,666,
2010100000,2010年度,7322,福島県 大玉村,,6908,,335,
2010100000,2010年度,7342,福島県 鏡石町,,10128,,799,
2010100000,2010年度,7344,福島県 天栄村,,5209,,263,
2010100000,2010年度,7362,福島県 下郷町,,5444,,260,
2010100000,2010年度,7364,福島県 檜枝岐村,,549,,58,
2010100000,2010年度,7367,福島県 只見町,,4227,,282,
2010100000,2010年度,7368,福島県 南会津町,,15090,,1135,
2010100000,2010年度,7402,福島県 北塩原村,,2647,,195,
2010100000,2010年度,7405,福島県 西会津町,,6356,,330,
2010100000,2010年度,7407,福島県 磐梯町,,3134,,206,
2010100000,2010年度,7408,福島県 猪苗代町,,13083,,1058,
2010100000,2010年度,7421,福島県 会津坂下町,,14214,,1102,
2010100000,2010年度,7422,福島県 湯川村,,2693,,227,
2010100000,2010年度,7423,福島県 柳津町,,3398,,146,
2010100000,2010年度,7444,福島県 三島町,,1732,,108,
2010100000,2010年度,7445,福島県 金山町,,2242,,128,
2010100000,2010年度,7446,福島県 昭和村,,1377,,78,
2010100000,2010年度,7447,福島県 会津美里町,,19032,,1325,
2010100000,2010年度,7461,福島県 西郷村,,15324,,1549,
2010100000,2010年度,7464,福島県 泉崎村,,5484,,372,
2010100000,2010年度,7465,福島県 中島村,,4065,,238,
2010100000,2010年度,7466,福島県 矢吹町,,14785,,1311,
2010100000,2010年度,7481,福島県 棚倉町,,12049,,880,
2010100000,2010年度,7482,福島県 矢祭町,,5339,,248,
2010100000,2010年度,7483,福島県 塙町,,8222,,403,
2010100000,2010年度,7484,福島県 鮫川村,,3305,,122,
2010100000,2010年度,7501,福島県 石川町,,14530,,1052,
2010100000,2010年度,7502,福島県 玉川村,,5837,,279,
2010100000,2010年度,7503,福島県 平田村,,5701,,191,
2010100000,2010年度,7504,福島県 浅川町,,5560,,317,
2010100000,2010年度,7505,福島県 古殿町,,4999,,205,
2010100000,2010年度,7521,福島県 三春町,,14922,,1157,
2010100000,2010年度,7522,福島県 小野町,,9216,,494,
2010100000,2010年度,7541,福島県 広野町,,4349,,377,
2010100000,2010年度,7542,福島県 楢葉町,,6276,,478,
2010100000,2010年度,7543,福島県 富岡町,,12787,,1443,
2010100000,2010年度,7544,福島県 川内村,,2465,,122,
2010100000,2010年度,7545,福島県 大熊町,,9169,,917,
2010100000,2010年度,7546,福島県 双葉町,,5710,,620,
2010100000,2010年度,7547,福島県 浪江町,,17172,,1382,
2010100000,2010年度,7548,福島県 葛尾村,,1280,,52,
2010100000,2010年度,7561,福島県 新地町,,6709,,452,
2010100000,2010年度,7564,福島県 飯舘村,,5169,,167,
2010100000,2010年度,8201,茨城県 水戸市,,211694,,40033,
